000,fdfdfd
001,971d27
002,df1b60
004,e23263
006,f645d6
011,e9023b
014,fb6447
015,ee1253
017,e58dc3
022,ea6f37
023,f9780c
024,f58725
025,f9eed0
026,dcd8d9
031,fda416
033,f4ab20
035,f7d955
036,f7d47a
037,fff870
038,dee5aa
041,c2a546
042,7e8164
043,596654
044,e8c212
046,20b75a
047,8dcf57
048,bed934
049,efd06d
052,168d67
053,247474
055,46d8a9
057,0d9b8e
059,daeb81
061,0b8b95
063,05d0f4
069,52487b
070,0c97f5
072,1b2ac9
074,276bf5
075,e5e3f4
076,aab7e9
081,7b1693
087,830a8a
089,f67ac7
091,9b352f
095,c4805b
097,e58f63
098,835868
099,594b46
104,be985a
120,030303
121,fe4977
123,fff85f
125,fe00c5
132,f9d1bd
135,ddc5cd
137,ece0e4
144,ace0f4
145,b8afe7
147,a4e0f6
169,b9a05f
171,d0e9e1
172,81ecc2
175,adc194
183,6dacfb
185,b6ddfe
196,e9dde1
BG1,d0daed
BG9,868392
CG5,8192b0
CG9,636481
GG3,c1c8ce
WG1,cecbde
WG3,bdb1b5
WG5,b3b2b3
WG8,727274
#005,ef01510
#007,f988a4
#008,fe69a3
#009,efadba
#010,ec0352
#012,f50123
#013,f45b61
#016,d9e695
#018,eba1bc
#020,fdc58f
#027,eadbe0
#028,f5d2cc
#029,fae8d3
#03,fc3594
#034,f9db0f
#045,c8b363
#050,135d68
#051,1f6f56
#054,09a38f
#056,3ab889
#058,16b9b9
#062,3a6f98
#064,02748f
#065,0d9ca5
#066,0edafb
#067,a0e7fc
#068,4df7f6
#071,333da8
#073,6c53ae
#077,e3ddfd
#082,5c2398
#084,bd328a
#085,aa2395
#086,a31e88
#088,fc54bd
#092,a7685c
#093,c8695a
#094,e76664
#096,bb7d6e
#100,734706
#101,cd8123
#102,7b543e
#103,ce9462
#107,d1ac83
#109,ece8e9
#122,f9733e
#124,e2f771
#124,e3f772
#126,fe19e0
#130,fdd1e7
#131,f0cfdc
#133,ebccc6
#134,dfd6b9
#136,dccad0
#138,f5daf0
#139,fdbcb3
#140,f8afa3
#141,f0e4b7
#142,f9e8bb
#143,bedbe1
#146,f3cbee
#147,f3ace2
#152,fbd9c4
#153,f9e7dd
#154,fc944a
#155,b4595f
#16,fc626e
#162,c96426
#164,e5db95
#166,e0ecde
#167,96edc8
#173,e1e6ca
#174,ccd6b4
#178,e0dbfb
#179,54ebed
#182,aaddf0
#198,fce5f9
#209,f9a392
#021,fc7f4b
#218,d9af98
#32,fccd66
#356,fbd9e6
#357,fad2e2
#360,f7e8cb
#360,fae7ce
#361,eeb4a1
#365,fef0e6
#366,fccebf
#367,f8d5c3
#369,f9c6b1
#370,f8d9d4
#371,feb29e
#373,fefaf7
#374,f9b5b0
#375,feaf7a
#376,eb6e66
#378,f1e3f4
#379,f3ddfb
#407,f7dcca
#410,e5937d
#411,8e5d52
#412,885345
#413,f1e6de
#414,fde9cf
#415,f3e7eb
#416,e5bb8a
#417,ce806a
#049,eed77a
#082,5e279b
#932,d2caf9
#BG3,bdbbc7
#BG5,9dabc7
#BG7,6d6b78
#CG5,e5ced6
#CG1,d4d2e0
#CG2,cfced2
#CG3,bbbbc0
#CG4,858585
#CG6,8f96a4
#CG7,7f7b92
#CG8,8b8995
#F00,42404a
#F03,e3c798
#F05,f4dd41
#F07,faca4b
#F08,fdbf38
#F09,f6c17d
#F10,fde2b9
#F11,fbce9d
#F13,c8c0a4
#F14,fbe492
#F15,d8a06a
#F151,fef89e
#F16,c49b69
#F17,f3c066
#F18,f4e3c7
#F19,dfbca8
#F20,e3c9a9
#F21,f5e6aa
#F22,d3a56d
#F23,b05f32
#F24,f9ba7b
#F25,f19c68
#F26,feaa54
#F27,edbb74
#F28,e49048
#F29,f69d5d
#F30,fcb981
#F31,fab168
#F32,d7b987
#F33,e69858
#F34,f8a869
#F36,a2866b
#F37,f7f7f7
#F38,f2c29e
#F39,faa883
#F40,e99f5e
#F41,b37364
#F42,e69878
#F43,dbaf94
#F44,f1aba2
#F45,da7f60
#F46,8f393f
#F47,8d685f
#F48,766363
#F49,f8996d
#F50,fbe1b0
#F52,e3e3e3
#F53,edc7d4
#F54,e99996
#F56,dc6872
#F68,fc9eae
#F69,fe9ab3
#F70,cb8d9a
#F71,dd8bb9
#F73,fde0ea
#F74,feafcb
#GG1,cdcbe1
#GG5,949aa7
#GG7,7e8c9e
#GG9,7d838d
#WG05,dedede
#WG2,c5b8bc
#WG4,a7a6a7
#WG6,928495
#WG7,959595
#WG9,5b586c
