#00000 ebede1
00001 360b10
00002 6f0d1e
00003 700817
00004 ba1c33
00005 c03b55
00006 d473b2
00007 f6b2b5
00008 fab7b3
00009 fcc9c9
00010 c92239
00011 e0344e
00012 bf1f3a
00013 d53148
00014 f75f4d
00015 ac002e
00016 dc2739
00017 f0afc5
00018 f7c3ce
00021 bc6f27
00022 fe6947
00023 f67a2e
00024 febd66
00025 f8d1b6
00026 feceaa
00027 f9d7c7
00028 fddcd1
00029 fdd7c9
00031 ad7729
00032 f9d060
00033 f8c754
00034 fec34f
00035 fbe256
00036 eacb8b
00037 f6e557
00038 fced7d
00041 87710b
00042 775f18
00043 586a25
00044 eada15
00045 f9de77
00046 4abb5a
00047 375210
00048 c2bb5a
00049 e9e494
00050 092b22
00051 054331
00052 0e4d26
00053 006859
00054 00734c
00055 12a377
00056 335717
00057 0e736c
00058 53d9b9
00059 b6d381
00061 0a7e70
00062 013553
00063 0e809a
00064 1e8acb
00065 83cef7
00066 80cefa
00067 a1daf8
00068 5ec5e4
00069 0c3468
00070 3a6890
00071 041562
00072 0c1a71
00073 21156d
00074 124194
00075 ada4de
00076 61b1f3
00077 c1acde
00081 3a1a6f
00082 562c95
00083 a998d4
00084 b31f80
00085 923384
00086 d532ab
00087 8d1f8f
00088 e6427b
00089 d78fc2
00091 84310c
00092 3c1d17
00093 6a2b17
00094 6f280c
00095 8e5327
00096 885f34
00097 965f3b
00098 33150d
00099 3a1f11
00100 8f6920
00101 e0a877
00102 875a21
00103 df9b58
00104 e1c893
00107 e7ba8c
00109 f6f2c2
00120 000000
00121 fe3679
00122 fd6935
00123 d4fa56
00124 abba24
00125 ce0787
00126 c6509c
00131 f2dbd3
00132 e2ba8c
00133 f0c9ab
00134 eee3b5
00135 f6c9c9
00136 fde2e4
00137 eebebe
00138 ebc2de
00139 f0b3ad
00140 e99371
00141 e9caa5
00142 f1c585
00143 a7e0ef
00144 a9d3f9
00145 9298ca
00146 e4bee8
00147 dab7e9
00163 f7ea9d
00164 fdeb9e
00166 cfd99d
00167 bdda8c
00169 d8bd6c
00171 c9ecd3
00172 76bf99
00173 d0d7af
00174 c0d698
00175 acc98a
00178 e0dcf4
00179 9dd0cc
00182 cee4f5
00183 8ec8f9
00185 addaf9
00196 efcae1
00198 ee9cba
00BG1 b6d5e2
00BG3 b4cbd4
00BG5 8ea5b3
00BG7 4a6478
00BG9 3a5567
0CG05 dadddc
00CG1 ceced0
00CG2 c7c7c5
00CG3 b3b3b5
00CG4 898b8b
00CG5 635f5c
00CG6 4d4c4f
00CG7 3e3e3e
00CG8 2e3130
00CG9 2a2a2c
00GG1 c6d4d1
00GG3 888f96
00GG5 6b7377
00GG7 1a242a
00GG9 262e34
0WG05 d3d3d3
00WG1 c5c5c3
00WG2 bdb6af
00WG3 a6a4a0
00WG4 8e887e
00WG5 7a7671
00WG6 6d665a
00WG7 696257
00WG8 555044
00WG9 1b1b19
00367 e5b68e
00369 e1b9ac
00370 e2b4a1
00371 e59c77
00413 e2c7b5
00415 e1b583
BK000 171513
BK001 e9d3a8
BK003 cdc4a8
BK005 e7ce7a
BK010 d8c29a
BK011 d6be95
BK013 bdaa7f
BK014 d4b376
BK015 a9935e
BK017 c4a267
BK018 dbd0af
BK024 dbb981
BK025 d6b074
BK026 d0ae81
BK030 d4b590
BK031 d4bb90
BK032 c1ae8e
BK033 c7ab9a
BK034 e9b181
BK036 ae957a
BK037 d7d0c2
BK039 d9b894
BK040 d2ae81
BK041 b1886c
BK042 ca8547
BK043 c6b19d
BK044 c99e7d
BK045 c79965
BK046 965434
BK048 574029
BK050 ded1b0
BK052 c2baae
BK053 d6b9b7
BK070 d5bbbd
BK071 ba9ba5
BK151 ecd583
